strategy,question,answer,ground_truth,answer_relevancy,faithfulness,context_precision,context_recall
hierarchical,Implement the `Annotated` type hint style and Python 3.10+ syntax security in a FastAPI application. [ex007 · annotated · py310],"# Implement the Annotated type hint style and Python 3.10+ syntax security in a FastAPI application.
from typing import Annotated

from fastapi import FastAPI, Security
from fastapi.security import OAuth2PasswordBearer, OAuth2PasswordRequestForm
from pydantic import BaseModel

app = FastAPI()

oauth2_scheme = OAuth2PasswordBearer(tokenUrl=""token"")


class User(BaseModel):
    username: str
    email: str | None = None
    full_name: str | None = None
    disabled: bool | None = None


def fake_decode_token(token):
    return User(
        username=""john_doe"", email=""john@example.com"", full_name=""John Doe""
    )


async def get_current_user(token: Annotated[str, Security(oauth2_scheme)]):
    user = fake_decode_token(token)
    return user


@app.post(""/token"")
async def login(form_data: Annotated[OAuth2PasswordRequestForm, Depends()]):
    return {""access_token"": form_data.username, ""token_type"": ""bearer""}


@app.get(""/users/me"")
async def read_users_me(current_user: Annotated[User, Depends(get_current_user)]):
    return current_user","def get_current_username(
    credentials: Annotated[HTTPBasicCredentials, Depends(security)],
):
    current_username_bytes = credentials.username.encode(""utf8"")
    correct_username_bytes = b""stanleyjobson""
    is_correct_username = secrets.compare_digest(
        current_username_bytes, correct_username_bytes
    )
    current_password_bytes = credentials.password.encode(""utf8"")
    correct_password_bytes = b""swordfish""
    is_correct_password = secrets.compare_digest(
        current_password_bytes, correct_password_bytes
    )
    if not (is_correct_username and is_correct_password):
        raise HTTPException(
            status_code=status.HTTP_401_UNAUTHORIZED,
            detail=""Incorrect username or password"",
            headers={""WWW-Authenticate"": ""Basic""},
        )
    return credentials.username


def read_current_user(username: Annotated[str, Depends(get_current_username)]):
    return {""username"": username}",0.9,0.375,1.0,0.7
hierarchical,Implement cookie-based state in a FastAPI route with the `Annotated` type hint style and Python 3.10+ syntax. [ex001 · annotated · py310],"# This code defines a FastAPI route that sets and retrieves a cookie.
from typing import Annotated

from fastapi import FastAPI, Cookie

app = FastAPI()

@app.get(""/items/"")
async def read_items(
    ads_id: Annotated[str | None, Cookie()] = None
):
    return {""ads_id"": ads_id}","async def read_items(ads_id: Annotated[str | None, Cookie()] = None):
    return {""ads_id"": ads_id}",1.0,0.0,0.0,0.2
hierarchical,Write a FastAPI WebSocket endpoint using standard parameter defaults and Python 3.10+ syntax. [ex003 · py310],"# FastAPI WebSocket endpoint with standard parameter defaults and Python 3.10+ syntax.
async def websocket_endpoint(
    *,
    websocket: WebSocket,
    item_id: str,
    q: int | None = None,
    cookie_or_token: Annotated[str, Depends(get_cookie_or_token)],
):
    await websocket.accept()
    while True:
        data = await websocket.receive_text()
        await websocket.send_text(
            f""Session cookie or query token value is: {cookie_or_token}""
        )
        if q is not None:
            await websocket.send_text(f""Query parameter q is: {q}"")
        await websocket.send_text(f""Message text was: {data}, for item ID: {item_id}"")","def __init__(self):
        self.active_connections: list[WebSocket] = []


async def connect(self, websocket: WebSocket):
        await websocket.accept()
        self.active_connections.append(websocket)


def disconnect(self, websocket: WebSocket):
        self.active_connections.remove(websocket)


async def send_personal_message(self, message: str, websocket: WebSocket):
        await websocket.send_text(message)


async def broadcast(self, message: str):
        for connection in self.active_connections:
            await connection.send_text(message)


async def get():
    return HTMLResponse(html)


async def websocket_endpoint(websocket: WebSocket, client_id: int):
    await manager.connect(websocket)
    try:
        while True:
            data = await websocket.receive_text()
            await manager.send_personal_message(f""You wrote: {data}"", websocket)
            await manager.broadcast(f""Client #{client_id} says: {data}"")
    except WebSocketDisconnect:
        manager.disconnect(websocket)
        await manager.broadcast(f""Client #{client_id} left the chat"")",0.9,0.875,0.5833333333333333,1.0
hierarchical,Write a FastAPI implementation that demonstrates templates using standard parameter defaults and Python 3.10+ syntax.,"# This code demonstrates templates using standard parameter defaults and Python 3.10+ syntax.
from typing import Annotated
from fastapi import FastAPI, Query
app = FastAPI()
@app.get(""/items/"")
async def read_items(
    q: Annotated[str | None, Query(title=""Query string"", min_length=3)] = None
):
    results = {""items"": [{""item_id"": ""Foo""}, {""item_id"": ""Bar""}]}
    if q:
        results.update({""q"": q})
    return results","async def read_item(request: Request, id: str):
    return templates.TemplateResponse(
        request=request, name=""item.html"", context={""id"": id}
    )",0.2,0.125,1.0,0.2
hierarchical,Write a FastAPI route that uses path parameters with standard parameter defaults and Python 3.10+ syntax. [ex001 · py310] (variant 3),"# This example demonstrates a FastAPI path operation with a path parameter using standard parameter defaults and Python 3.10+ syntax.
from typing import Annotated

from fastapi import FastAPI, Path

app = FastAPI()

@app.get(""/items/{item_id}"")
async def read_items(item_id: Annotated[int, Path(title=""The ID of the item to get"")]):
    return {""item_id"": item_id}","async def read_items():
    return [{""item_id"": ""Foo""}]",0.7,0.625,1.0,1.0
hierarchical,Create a larger FastAPI application structure with multiple routers using standard parameter defaults and Python 3.10+ syntax. [ex003 · py310],"# This code defines a FastAPI application with multiple routers, demonstrating the use of standard parameter defaults and Python 3.10+ syntax.
from typing import Annotated, Any, Callable, Sequence
from fastapi import FastAPI, APIRouter, Body, Header, Path, Query, Security
from fastapi.params import Depends
from pydantic import BaseModel, Field

# Assuming these are defined elsewhere or mocked for this example
class Undefined: ...
class _Unset: ...
class Doc:
    def __init__(self, *args, **kwargs): pass
class deprecated:
    def __init__(self, *args, **kwargs): pass
class AliasPath: ...
class AliasChoices: ...
class Example: ...
class params:
    class Body:
        def __init__(self, **kwargs): pass
    class Header:
        def __init__(self, **kwargs): pass
    class Query:
        def __init__(self, **kwargs): pass
    class Path:
        def __init__(self, **kwargs): pass
    class Security:
        def __init__(self, **kwargs): pass

app = FastAPI()

# --- Users Router ---
router_users = APIRouter(prefix=""/users"", tags=[""users""])

class User(BaseModel):
    id: int
    name: str = ""John Doe""
    email: str | None = None

@router_users.post(""/"", response_model=User)
async def create_user(
    user: Annotated[User, Body(
        examples=[
            {""id"": 1, ""name"": ""Jane Doe"", ""email"": ""jane@example.com""},
            {""id"": 2, ""name"": ""John Smith""}
        ],
        description=""User object to be created""
    )],
    x_request_id: Annotated[str | None, Header(
        alias=""X-Request-ID"",
        description=""Unique request identifier"",
        min_length=10,
        max_length=50,
        pattern=""^[a-f0-9]{8}-[a-f0-9]{4}-[a-f0-9]{4}-[a-f0-9]{4}-[a-f0-9]{12}$""
    )] = None,
):
    return user

@router","async def startup_event():
    items[""foo""] = {""name"": ""Fighters""}
    items[""bar""] = {""name"": ""Tenders""}


async def read_items(item_id: str):
    return items[item_id]


def test_read_items():
    with TestClient(app) as client:
        response = client.get(""/items/foo"")
        assert response.status_code == 200
        assert response.json() == {""name"": ""Fighters""}",0.7,0.625,0.3666666666666667,0.2
hierarchical,Implement the FastAPI routing utility `serialize_response`.,"# This function serializes a response using a given response model, handling various Pydantic serialization options.
def serialize_response(
    *,
    field: FieldInfo,
    response_content: Any,
    include: IncEx | None = None,
    exclude: IncEx | None = None,
    by_alias: bool = True,
    exclude_unset: bool = False,
    exclude_defaults: bool = False,
    exclude_none: bool = False,
) -> Any:
    if field.response_model is None:
        return response_content
    return field.response_model.model_validate(response_content).model_dump(
        mode=""json"",
        include=include,
        exclude=exclude,
        by_alias=by_alias,
        exclude_unset=exclude_unset,
        exclude_defaults=exclude_defaults,
        exclude_none=exclude_none,
    )","async def serialize_response(
    *,
    field: ModelField | None = None,
    response_content: Any,
    include: IncEx | None = None,
    exclude: IncEx | None = None,
    by_alias: bool = True,
    exclude_unset: bool = False,
    exclude_defaults: bool = False,
    exclude_none: bool = False,
    is_coroutine: bool = True,
    endpoint_ctx: EndpointContext | None = None,
    dump_json: bool = False,
) -> Any:
    if field:
        if is_coroutine:
            value, errors = field.validate(response_content, {}, loc=(""response"",))
        else:
            value, errors = await run_in_threadpool(
                field.validate, response_content, {}, loc=(""response"",)
            )
        if errors:
            ctx = endpoint_ctx or EndpointContext()
            raise ResponseValidationError(
                errors=errors,
                body=response_content,
                endpoint_ctx=ctx,
            )
        serializer = field.serialize_json if dump_json else field.serialize
        return serializer(
            value,
            include=include,
            exclude=exclude,
            by_alias=by_alias,
            exclude_unset=exclude_unset,
            exclude_defaults=exclude_defaults,
            exclude_none=exclude_none,
        )

    else:
        return jsonable_encoder(response_content)",1.0,0.0,1.0,0.5
hierarchical,Implement custom header parameters in a FastAPI endpoint with standard parameter defaults and Python 3.10+ syntax. [ex001 · py310] (variant 1),"# This code defines a FastAPI application with a single endpoint that accepts a custom header parameter.
from typing import Annotated
from fastapi import FastAPI, Header

app = FastAPI()

@app.get(""/items/"")
async def read_items(
    x_custom_header: Annotated[str | None, Header(alias=""X-Custom-Header"")] = None
):
    return {""X-Custom-Header"": x_custom_header}","async def read_items(headers: CommonHeaders = Header()):
    return headers",1.0,0.25,1.0,1.0
hierarchical,Create a FastAPI endpoint with optional and required query params using the `Annotated` type hint style and Python 3.10+ syntax. [ex011 · annotated · py310],"# FastAPI endpoint with optional and required query parameters
from typing import Annotated
from fastapi import FastAPI, Query

app = FastAPI()

@app.get(""/items/"")
async def read_items(
    item_id: Annotated[str, Query(title=""The ID of the item to get"")],
    q: Annotated[str | None, Query(alias=""item-query"")] = None,
    short: Annotated[bool, Query(description=""Whether to get short or full description for item"")] = False,
):
    results = {""item_id"": item_id}
    if q:
        results.update({""q"": q})
    if not short:
        results.update(
            {""description"": ""This is an amazing item that has a long description""}
        )
    return results","async def read_items(q: Annotated[list[str] | None, Query()] = None):
    query_items = {""q"": q}
    return query_items",1.0,0.125,0.75,1.0
hierarchical,Create a larger FastAPI application structure with multiple routers using the `Annotated` type hint style and Python 3.10+ syntax.,"# This code defines a FastAPI application with multiple routers, using Annotated for dependency injection and path parameters.
from typing import Annotated

from fastapi import APIRouter, Depends, FastAPI, Path, Query

app = FastAPI()

router = APIRouter()


async def common_parameters(
    q: Annotated[str | None, Query()] = None,
    skip: Annotated[int, Query()] = 0,
    limit: Annotated[int, Query()] = 100,
):
    return {""q"": q, ""skip"": skip, ""limit"": limit}


@router.get(""/items/"")
async def read_items(commons: Annotated[dict, Depends(common_parameters)]):
    return commons


@router.get(""/users/"")
async def read_users(commons: Annotated[dict, Depends(common_parameters)]):
    return commons


app.include_router(router)


@app.get(""/elements/{item_id}"")
async def read_elements(
    item_id: Annotated[int, Path(title=""The ID of the item to get"")],
    q: Annotated[str | None, Query(alias=""item-query"")] = None,
    commons: Annotated[dict, Depends(common_parameters)],
):
    results = {""item_id"": item_id, **commons}
    if q:
        results.update({""q"": q})
    return results","async def read_main(item_id: str, x_token: Annotated[str, Header()]):
    if x_token != fake_secret_token:
        raise HTTPException(status_code=400, detail=""Invalid X-Token header"")
    if item_id not in fake_db:
        raise HTTPException(status_code=404, detail=""Item not found"")
    return fake_db[item_id]


async def create_item(item: Item, x_token: Annotated[str, Header()]) -> Item:
    if x_token != fake_secret_token:
        raise HTTPException(status_code=400, detail=""Invalid X-Token header"")
    if item.id in fake_db:
        raise HTTPException(status_code=409, detail=""Item already exists"")
    fake_db[item.id] = item.model_dump()
    return item",0.7,0.25,0.0,0.2
hierarchical,Write a FastAPI application that uses dependency injection with standard parameter defaults and Python 3.10+ syntax. [ex008 · py310],"# FastAPI application using dependency injection with standard parameter defaults and Python 3.10+ syntax
from typing import Annotated

from fastapi import Depends, FastAPI

app = FastAPI()

def common_parameters(q: str | None = None, skip: int = 0, limit: int = 100):
    return {""q"": q, ""skip"": skip, ""limit"": limit}

@app.get(""/items/"")
async def read_items(commons: Annotated[dict, Depends(common_parameters)]):
    return commons","async def dependency_a():
    dep_a = generate_dep_a()
    try:
        yield dep_a
    finally:
        dep_a.close()


async def dependency_b(dep_a=Depends(dependency_a)):
    dep_b = generate_dep_b()
    try:
        yield dep_b
    finally:
        dep_b.close(dep_a)


async def dependency_c(dep_b=Depends(dependency_b)):
    dep_c = generate_dep_c()
    try:
        yield dep_c
    finally:
        dep_c.close(dep_b)",1.0,0.5,0.7000000000000001,1.0
hierarchical,Create a FastAPI application with custom response classes or serialisation using standard parameter defaults and Python 3.10+ syntax. [ex003 · py310],"# This example demonstrates a FastAPI application with custom response classes and serialization using standard parameter defaults and Python 3.10+ syntax.
from typing import Annotated

from fastapi import FastAPI, Query
from fastapi.responses import ORJSONResponse, UJSONResponse

app = FastAPI(default_response_class=ORJSONResponse)


@app.get(""/items/"", response_class=UJSONResponse)
async def read_items(q: Annotated[str | None, Query(alias=""item-query"")] = None):
    return {""query"": q}","async def read_items():
    html_content = """"""
    <html>
        <head>
            <title>Some HTML in here</title>
        </head>
        <body>
            <h1>Look ma! HTML!</h1>
        </body>
    </html>
    """"""
    return HTMLResponse(content=html_content, status_code=200)",1.0,0.125,0.45,0.0
hierarchical,Implement standard parameter defaults and Python 3.10+ syntax security in a FastAPI application. [ex004 · py310],"# Implement standard parameter defaults and Python 3.10+ syntax security in a FastAPI application.
from typing import Annotated

from fastapi import FastAPI, Security
from fastapi.security import OAuth2PasswordBearer, SecurityScopes

app = FastAPI()

oauth2_scheme = OAuth2PasswordBearer(tokenUrl=""token"")


@app.get(""/scopes/items/"")
async def read_items(
    token: Annotated[str, Security(oauth2_scheme, scopes=[""items""])],
):
    return {""token"": token}


@app.get(""/scopes/users/"")
async def read_users(
    token: Annotated[str, Security(oauth2_scheme, scopes=[""users""])],
):
    return {""token"": token}


@app.get(""/scopes/both/"")
async def read_both(
    token: Annotated[str, Security(oauth2_scheme, scopes=[""users"", ""items""])],
):
    return {""token"": token}","def verify_password(plain_password, hashed_password):
    return password_hash.verify(plain_password, hashed_password)


def get_password_hash(password):
    return password_hash.hash(password)


def get_user(db, username: str):
    if username in db:
        user_dict = db[username]
        return UserInDB(**user_dict)


def authenticate_user(fake_db, username: str, password: str):
    user = get_user(fake_db, username)
    if not user:
        verify_password(password, DUMMY_HASH)
        return False
    if not verify_password(password, user.hashed_password):
        return False
    return user


def create_access_token(data: dict, expires_delta: timedelta | None = None):
    to_encode = data.copy()
    if expires_delta:
        expire = datetime.now(timezone.utc) + expires_delta
    else:
        expire = datetime.now(timezone.utc) + timedelta(minutes=15)
    to_encode.update({""exp"": expire})
    encoded_jwt = jwt.encode(to_encode, SECRET_KEY, algorithm=ALGORITHM)
    return encoded_jwt


async def get_current_user(token: str = Depends(oauth2_scheme)):
    credentials_exception = HTTPException(
        status_code=status.HTTP_401_UNAUTHORIZED,
        detail=""Could not validate credentials"",
        headers={""WWW-Authenticate"": ""Bearer""},
    )
    try:
        payload = jwt.decode(token, SECRET_KEY, algorithms=[ALGORITHM])
        username = payload.get(""sub"")
        if username is None:
            raise credentials_exception
        token_data = TokenData(username=username)
    except InvalidTokenError:
        raise credentials_exception
    user = get_user(fake_users_db, username=token_data.username)
    if user is None:
        raise credentials_exception
    return user


async def get_current_active_user(current_user: User = Depends(get_current_user)):
    if current_user.disabled:
        raise HTTPException(status_code=400, detail=""Inactive user"")
    return current_user


async def login_for_access_token(
    form_data: OAuth2PasswordRequestForm = Depends(),
) -> Token:
    user = authenticate_user(fake_users_db, form_data.username, form_data.password)
    if not user:
        raise HTTPException(
            status_code=status.HTTP_401_UNAUTHORIZED,
            detail=""Incorrect username or password"",
            headers={""WWW-Authenticate"": ""Bearer""},
        )
    access_token_expires = timedelta(minutes=ACCESS_TOKEN_EXPIRE_MINUTES)
    access_token = create_access_token(
        data={""sub"": user.username}, expires_delta=access_token_expires
    )
    return Token(access_token=access_token, token_type=""bearer"")


async def read_users_me(current_user: User = Depends(get_current_active_user)) -> User:
    return current_user


async def read_own_items(current_user: User = Depends(get_current_active_user)):
    return [{""item_id"": ""Foo"", ""owner"": current_user.username}]",0.2,0.375,0.8875,0.2
hierarchical,Implement the FastAPI dependency injection utility `_get_multidict_value`.,"# Implements the FastAPI dependency injection utility `_get_multidict_value`.
def _get_multidict_value(
    field: ModelField, values: Mapping[str, Any], alias: str | None = None
) -> Any:
    alias = alias or get_validation_alias(field)
    if (
        (not _is_json_field(field))
        and field_annotation_is_sequence(field.field_info.annotation)
        and isinstance(values, (ImmutableMultiDict, Headers))
    ):
        value = values.getlist(alias)
    else:
        value = values.get(alias, None)
    if (
        value is None
        or (
            isinstance(field.field_info, params.Form)
            and isinstance(value, str)  # For type checks
            and value == """"
        )
        or (
            field_annotation_is_sequence(field.field_info.annotation)
            and len(value) == 0
        )
    ):
        if field.field_info.is_required():
            return
        else:
            return deepcopy(field.default)
    return value","def _get_multidict_value(
    field: ModelField, values: Mapping[str, Any], alias: str | None = None
) -> Any:
    alias = alias or get_validation_alias(field)
    if (
        (not _is_json_field(field))
        and field_annotation_is_sequence(field.field_info.annotation)
        and isinstance(values, (ImmutableMultiDict, Headers))
    ):
        value = values.getlist(alias)
    else:
        value = values.get(alias, None)
    if (
        value is None
        or (
            isinstance(field.field_info, params.Form)
            and isinstance(value, str)  # For type checks
            and value == """"
        )
        or (
            field_annotation_is_sequence(field.field_info.annotation)
            and len(value) == 0
        )
    ):
        if field.field_info.is_required():
            return
        else:
            return deepcopy(field.default)
    return value",1.0,0.875,0.45,1.0
hierarchical,Customise the OpenAPI schema or JSON Schema in FastAPI using the `Annotated` type hint style and Python 3.10+ syntax. [ex005 · annotated · py310],"# This code customizes the OpenAPI schema by adding an ""x-logo"" field to the info section.
def custom_openapi():
    if app.openapi_schema:
        return app.openapi_schema
    openapi_schema = get_openapi(
        title=""Custom title"",
        version=""2.5.0"",
        summary=""This is a very custom OpenAPI schema"",
        description=""Here's a longer description of the custom **OpenAPI** schema"",
        routes=app.routes,
    )
    openapi_schema[""info""][""x-logo""] = {
        ""url"": ""https://fastapi.tiangolo.com/img/logo-margin/logo-teal.png""
    }
    app.openapi_schema = openapi_schema
    return app.openapi_schema","async def update_item(
    *,
    item_id: int,
    item: Annotated[
        Item,
        Body(
            openapi_examples={
                ""normal"": {
                    ""summary"": ""A normal example"",
                    ""description"": ""A **normal** item works correctly."",
                    ""value"": {
                        ""name"": ""Foo"",
                        ""description"": ""A very nice Item"",
                        ""price"": 35.4,
                        ""tax"": 3.2,
                    },
                },
                ""converted"": {
                    ""summary"": ""An example with converted data"",
                    ""description"": ""FastAPI can convert price `strings` to actual `numbers` automatically"",
                    ""value"": {
                        ""name"": ""Bar"",
                        ""price"": ""35.4"",
                    },
                },
                ""invalid"": {
                    ""summary"": ""Invalid data is rejected with an error"",
                    ""value"": {
                        ""name"": ""Baz"",
                        ""price"": ""thirty five point four"",
                    },
                },
            },
        ),
    ],
):
    results = {""item_id"": item_id, ""item"": item}
    return results",0.2,1.0,0.4777777777777777,0.7
hierarchical,Implement the FastAPI internal function `generate_operation_id_for_path` from `fastapi/utils.py.py`.,"# Generates an operation ID for a path based on name, path, and method.
def generate_operation_id_for_path(
    *, name: str, path: str, method: str
) -> str:  # pragma: nocover
    warnings.warn(
        message=""fastapi.utils.generate_operation_id_for_path() was deprecated, ""
        ""it is not used internally, and will be removed soon"",
        category=FastAPIDeprecationWarning,
        stacklevel=2,
    )
    operation_id = f""{name}{path}""
    operation_id = re.sub(r""\W"", ""_"", operation_id)
    operation_id = f""{operation_id}_{method.lower()}""
    return operation_id","def generate_operation_id_for_path(
    *, name: str, path: str, method: str
) -> str:  # pragma: nocover
    warnings.warn(
        message=""fastapi.utils.generate_operation_id_for_path() was deprecated, ""
        ""it is not used internally, and will be removed soon"",
        category=FastAPIDeprecationWarning,
        stacklevel=2,
    )
    operation_id = f""{name}{path}""
    operation_id = re.sub(r""\W"", ""_"", operation_id)
    operation_id = f""{operation_id}_{method.lower()}""
    return operation_id",1.0,1.0,1.0,1.0
hierarchical,Implement the FastAPI internal function `value_is_sequence` from `fastapi/_compat_shared.py.py`.,"# Checks if a value is a sequence but not a string or bytes.
def value_is_sequence(value: Any) -> bool:
    return isinstance(value, (list, tuple, set))","def value_is_sequence(value: Any) -> bool:
    return isinstance(value, sequence_types) and not isinstance(value, (str, bytes))",1.0,0.0,0.0,0.0
hierarchical,Write a FastAPI route using Python py310+ type hint features with standard parameter defaults and Python 3.10+ syntax. [ex006 · py310],"# This code defines a FastAPI application with a single GET route that includes a path parameter and a query parameter.
from typing import Annotated
from fastapi import FastAPI, Path, Query

app = FastAPI()

@app.get(""/items/{item_id}"")
async def read_items(
    item_id: Annotated[int, Path(title=""The ID of the item to get"", ge=1)],
    q: Annotated[str | None, Query(alias=""item-query"")] = None,
):
    results = {""item_id"": item_id}
    if q:
        results.update({""q"": q})
    return results","def process_items(items: list[str]):
    for item in items:
        print(item)",1.0,0.0,0.9166666666666666,0.0
hierarchical,Implement the FastAPI dependency injection utility `is_async_gen_callable`.,"# Checks if a callable is an asynchronous generator function.
def is_async_gen_callable(self) -> bool:
        if self.call is None:
            return False  # pragma: no cover
        if inspect.isasyncgenfunction(
            _impartial(self.call)
        ) or inspect.isasyncgenfunction(_unwrapped_call(self.call)):
            return True
        if inspect.isclass(_unwrapped_call(self.call)):
            return False
        dunder_call = getattr(_impartial(self.call), ""__call__"", None)  # noqa: B004
        if dunder_call is None:
            return False  # pragma: no cover
        if inspect.isasyncgenfunction(
            _impartial(dunder_call)
        ) or inspect.isasyncgenfunction(_unwrapped_call(dunder_call)):
            return True
        dunder_unwrapped_call = getattr(_unwrapped_call(self.call), ""__call__"", None)  # noqa: B004
        if dunder_unwrapped_call is None:
            return False  # pragma: no cover
        if inspect.isasyncgenfunction(
            _impartial(dunder_unwrapped_call)
        ) or inspect.isasyncgenfunction(_unwrapped_call(dunder_unwrapped_call)):
            return True
        return False","def is_async_gen_callable(self) -> bool:
        if self.call is None:
            return False  # pragma: no cover
        if inspect.isasyncgenfunction(
            _impartial(self.call)
        ) or inspect.isasyncgenfunction(_unwrapped_call(self.call)):
            return True
        if inspect.isclass(_unwrapped_call(self.call)):
            return False
        dunder_call = getattr(_impartial(self.call), ""__call__"", None)  # noqa: B004
        if dunder_call is None:
            return False  # pragma: no cover
        if inspect.isasyncgenfunction(
            _impartial(dunder_call)
        ) or inspect.isasyncgenfunction(_unwrapped_call(dunder_call)):
            return True
        dunder_unwrapped_call = getattr(_unwrapped_call(self.call), ""__call__"", None)  # noqa: B004
        if dunder_unwrapped_call is None:
            return False  # pragma: no cover
        if inspect.isasyncgenfunction(
            _impartial(dunder_unwrapped_call)
        ) or inspect.isasyncgenfunction(_unwrapped_call(dunder_unwrapped_call)):
            return True
        return False",1.0,1.0,0.3666666666666667,1.0
hierarchical,Write a FastAPI application with custom HTTP exception handlers using standard parameter defaults and Python 3.10+ syntax. [ex006 · py310],"# FastAPI application with custom HTTP exception handlers.
from typing import Annotated

from fastapi import FastAPI, HTTPException, Request, status
from fastapi.responses import HTMLResponse, JSONResponse
from fastapi.exceptions import RequestValidationError
from pydantic import BaseModel

app = FastAPI()

class Item(BaseModel):
    name: str
    description: str | None = None
    price: float
    tax: float | None = None

@app.exception_handler(HTTPException)
async def http_exception_handler(request: Request, exc: HTTPException):
    return JSONResponse(
        status_code=exc.status_code,
        content={""message"": f""Oops! {exc.detail}""},
    )

@app.exception_handler(RequestValidationError)
async def validation_exception_handler(request: Request, exc: RequestValidationError):
    return JSONResponse(
        status_code=status.HTTP_422_UNPROCESSABLE_ENTITY,
        content={""detail"": exc.errors()},
    )

@app.get(""/"")
async def root():
    return {""message"": ""Hello Bigger Applications!""}

@app.post(""/items/"")
async def create_item(item: Item):
    return item

@app.get(""/items/{item_id}"")
async def read_item(item_id: int):
    if item_id == 3:
        raise HTTPException(status_code=418, detail=""Nope! I don't like 3."")
    return {""item_id"": item_id}","async def custom_http_exception_handler(request, exc):
    print(f""OMG! An HTTP error!: {repr(exc)}"")
    return await http_exception_handler(request, exc)


async def validation_exception_handler(request, exc):
    print(f""OMG! The client sent invalid data!: {exc}"")
    return await request_validation_exception_handler(request, exc)


async def read_item(item_id: int):
    if item_id == 3:
        raise HTTPException(status_code=418, detail=""Nope! I don't like 3."")
    return {""item_id"": item_id}",1.0,0.0,0.3333333333333333,0.2
hierarchical,Implement the FastAPI dependency injection utility `_uses_scopes`.,"# This function checks if a dependency uses OAuth2 scopes.
def _uses_scopes(dependency: Any) -> bool:
    return isinstance(dependency, Security)","def _uses_scopes(self) -> bool:
        if self.own_oauth_scopes:
            return True
        if self.security_scopes_param_name is not None:
            return True
        if self._is_security_scheme:
            return True
        for sub_dep in self.dependencies:
            if sub_dep._uses_scopes:
                return True
        return False",1.0,0.0,1.0,0.2
hierarchical,Customise the OpenAPI schema or JSON Schema in FastAPI using the `Annotated` type hint style and Python 3.10+ syntax. [ex004 · annotated · py310],"# This code customizes the OpenAPI schema by adding an ""x-logo"" field to the info section.
def custom_openapi():
    if app.openapi_schema:
        return app.openapi_schema
    openapi_schema = get_openapi(
        title=""Custom title"",
        version=""2.5.0"",
        summary=""This is a very custom OpenAPI schema"",
        description=""Here's a longer description of the custom **OpenAPI** schema"",
        routes=app.routes,
    )
    openapi_schema[""info""][""x-logo""] = {
        ""url"": ""https://fastapi.tiangolo.com/img/logo-margin/logo-teal.png""
    }
    app.openapi_schema = openapi_schema
    return app.openapi_schema","async def update_item(
    *,
    item_id: int,
    item: Annotated[
        Item,
        Body(
            examples=[
                {
                    ""name"": ""Foo"",
                    ""description"": ""A very nice Item"",
                    ""price"": 35.4,
                    ""tax"": 3.2,
                },
                {
                    ""name"": ""Bar"",
                    ""price"": ""35.4"",
                },
                {
                    ""name"": ""Baz"",
                    ""price"": ""thirty five point four"",
                },
            ],
        ),
    ],
):
    results = {""item_id"": item_id, ""item"": item}
    return results",0.5,1.0,0.325,0.7
hierarchical,Define the FastAPI internal data structure `read`.,# The provided context does not contain a definition for a FastAPI internal data structure named `read`.,"async def read(
        self,
        size: Annotated[
            int,
            Doc(
                """"""
                The number of bytes to read from the file.
                """"""
            ),
        ] = -1,
    ) -> bytes:
        """"""
        Read some bytes from the file.

        To be awaitable, compatible with async, this is run in threadpool.
        """"""
        return await super().read(size)",1.0,1.0,0.0,0.2
hierarchical,Write a FastAPI route that uses path parameters with standard parameter defaults and Python 3.10+ syntax. [ex003 · py310] (variant 1),"# This example demonstrates a FastAPI path operation with a path parameter using Python 3.10+ syntax and a default value.
from typing import Annotated

from fastapi import FastAPI, Path

app = FastAPI()

@app.get(""/items/{item_id}"")
async def read_items(item_id: Annotated[int, Path(title=""The ID of the item to get"")] = 0):
    return {""item_id"": item_id}","async def read_users():
    return [""Rick"", ""Morty""]


async def read_users2():
    return [""Bean"", ""Elfo""]",1.0,0.625,1.0,0.0
hierarchical,Implement the FastAPI dependency injection utility `get_typed_return_annotation`.,# This function is not present in the provided context.,"def get_typed_return_annotation(call: Callable[..., Any]) -> Any:
    signature = _get_signature(call)
    unwrapped = inspect.unwrap(call)
    annotation = signature.return_annotation

    if annotation is inspect.Signature.empty:
        return None

    globalns = getattr(unwrapped, ""__globals__"", {})
    return get_typed_annotation(annotation, globalns)",0.0,0.0,0.0,0.0
